タスク,フェーズ,ワークストリーム,成果物,責任者,期限,状態
経営陣名義で改革目的・7つの基本思想を全社発信（工数把握の目的宣言含む）,Day 1-30,キックオフ,全社告知文,新谷／経営陣,Day 3,未着手
STO立ち上げ（リード・コア任命、週次定例設定）,Day 1-30,STO,体制図・定例設定,新谷,Day 5,未着手
請求・契約・既存資料からSTOが顧客・案件リストの下書き作成,Day 1-30,棚卸し,下書きリスト,STO,Day 14,未着手
現場確認・修正（1人2〜3時間以内）→顧客・案件棚卸し完了,Day 1-30,棚卸し,顧客・案件全量リスト,領域アンバサダー,Day 25,未着手
パートナー棚卸し,Day 1-30,棚卸し,パートナーリスト,STO＋各領域,Day 25,未着手
トップ外交棚卸し（過去12か月の機会の生死判定）,Day 1-30,棚卸し,外交機会リスト,STO＋役員秘書,Day 21,未着手
休眠顧客棚卸し＋再活性化候補トップ20選定,Day 1-30,棚卸し,休眠リスト,STO,Day 28,未着手
工数計測開始（週次申告の展開・初回回収）,Day 1-30,工数,週次申告データ,STO,Day 7,未着手
関係者インタビュー（20〜30名）・会議ログ分析,Day 1-30,診断,初期診断報告書,STO,Day 28,未着手
Day 30経営報告会（棚卸し結果＋初期診断）,Day 1-30,報告,報告資料（マスタ投影）,STO／新谷,Day 30,未着手
経営ワークショップ（ウェイト・顧客ランク基準の確定）,Day 31-60,スコアリング,確定ウェイト,新谷／経営陣,Day 40,未着手
全案件スコアリング・全顧客ランク付与,Day 31-60,スコアリング,スコア済みマスタ,STO＋マネージャー,Day 50,未着手
高工数低収益案件の抽出（トリアージ候補リスト）,Day 31-60,スコアリング,トリアージ候補,STO,Day 55,未着手
監修・契約リードタイム実測（直近20〜30案件の工程分解）,Day 31-60,プロセス,実測レポート,プロセス改革WG,Day 45,未着手
標準営業プロセス初版（6ステージ・Exit Criteria）,Day 31-60,プロセス,プロセス定義書v1,プロセス改革WG,Day 60,未着手
契約雛形・提案テンプレート整備着手,Day 31-60,プロセス,雛形・テンプレ一覧,法務＋STO,Day 60,未着手
ダッシュボードMVP構築（経営・マネージャー版）,Day 31-60,ツール,MVP稼働,STOデータ担当,Day 60,未着手
生きている外交機会の再起動（アサイン・初動）,Day 31-60,トップ外交,再起動リスト,STO＋担当営業,Day 50,未着手
AI PoC要件定義（提案初稿生成・監修ナレッジ検索）,Day 31-60,AI,PoC要件書,STO＋IT,Day 60,未着手
Day 60経営報告会（スコアリング・ボトルネック実測・KPIベースライン）,Day 31-60,報告,報告,STO／新谷,Day 60,未着手
月次ポートフォリオ会議 第1回（撤退・省力化の初回判断2〜3件）,Day 61-90,会議,決定ログ,新谷（議長）,Day 70,未着手
週次パイプライン会議の新形式移行（資料レス）,Day 61-90,会議,新形式運用,各マネージャー,Day 65,未着手
休眠顧客トップ20へ再アプローチ開始,Day 61-90,休眠,接触結果,各領域＋STO,Day 75,未着手
Sランク顧客への経営スポンサー任命・初回トップ面談,Day 61-90,顧客,スポンサー表,新谷／経営陣,Day 80,未着手
監修ファストトラック（3トラック制）パイロット開始,Day 61-90,プロセス,運用基準,監修部門＋WG,Day 75,未着手
担当者ダッシュボード稼働（3層完成）,Day 61-90,ツール,MVP完全版,STOデータ担当,Day 80,未着手
AI PoC 2件開始,Day 61-90,AI,PoC開始報告,STO＋IT,Day 80,未着手
月次ポートフォリオ会議 第2回,Day 61-90,会議,決定ログ,新谷（議長）,Day 90,未着手
90日総括（工数90日分析・H2/H3最終検証）＋6か月計画,Day 61-90,総括,総括報告書,STO,Day 88,未着手
Day 90経営報告会（総括と6か月計画の承認）,Day 61-90,報告,承認,STO／新谷,Day 90,未着手
