KPI,番号,区分,定義,計測方法,ベースライン,目標(12M),直近実績,状態
売上,1,成果(遅行),営業領域別・顧客別・案件別売上,会計データ＋案件データ紐付け,,,,計測設計中
粗利,2,成果(遅行),MG・料率・原価・値引を反映した実質粗利,案件別粗利算定ルール（Day60統一）,,,,計測設計中
営業工数,3,資源配分,案件別・顧客別・工程別の投入時間,週次工数申告（0.5h・10分類）,,,,計測設計中
粗利/営業工数【北極星】,4,成果(遅行),営業1時間あたり粗利,粗利÷営業工数,,,,計測設計中
案件登録率,5,行動(先行),実在案件のうちパイプライン登録済みの比率,棚卸し・監査サンプリング,,,,計測設計中
次アクション設定率,6,行動(先行),登録案件のうち次アクション・期限設定済み比率,案件マスタ自動集計,,,,計測設計中
停滞案件数,7,行動(先行),30日以上次アクション未実行の案件数,案件マスタ自動集計,,,,計測設計中
監修リードタイム,8,スループット,監修申請〜承認の日数（トラック別）,監修プロセスログ,,,,計測設計中
契約リードタイム,9,スループット,条件合意〜契約締結の日数,契約管理データ,,,,計測設計中
提案作成リードタイム,10,スループット,提案着手〜顧客提出の日数・工数,工数申告＋案件ログ,,,,計測設計中
高工数低収益案件数,11,資源配分,粗利下位1/3×工数上位1/3の案件数,スコアリング＋工数データ,,,,計測設計中
S/Aランク顧客への工数配分,12,資源配分,総工数のうちS/A顧客向け比率,工数申告×顧客ランク,,,,計測設計中
トップ外交案件化率,13,行動(先行),機会のうち30日以内に初動・案件登録された比率,トップ外交管理ボード,,,,計測設計中
CRM価値,14,成果(遅行),案件経由の会員獲得・データ獲得・D2C送客,案件のCRM価値項目×CRM基盤,,,,計測設計中
海外展開価値,15,成果(遅行),海外横展開案件数・新規海外パートナー数,案件の海外展開タグ,,,,計測設計中
